阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
升堂入室	sheng'tang'ru'shi	《论语·先进》：“由也升堂矣，未入於室也。”硃熹集注：“言子路之学，已造乎正大高明之域，特未深入精微之奥耳。”后以“升堂入室”指人的学问造诣精深。
升堂入室	sheng'tang'ru'shi	①《论语·先进》：“由也升堂矣，未入於室也。”原比喻学习所达到的境地有程度深浅的差别。后用以称赞在学问或技艺上的由浅入深，渐入佳境。②谓出入于外F内室之间。
生搬硬套	sheng'ban'ying'tao	机械地搬用别人的经验、方法等。
生不逢场	sheng'bu'feng'chang	又作：生不逢时。
生不逢辰	sheng'bu'feng'chen	见“生不逢时”。
生不逢时	sheng'bu'feng'shi	谓生得不是时候。常作时运不济之叹。语出《诗·大雅·桑柔》：“我生不辰，逢天僤怒。”
生炒热卖	sheng'chao're'mai	谓急于应付，现做现卖而不暇精制。
生辰吉帖	sheng'chen'ji'tie	即庚帖。
生夺硬抢	sheng'duo'ying'qiang	谓强行夺过来。
生发未燥	sheng'fa'wei'zao	胎发未干。因以指孩童之时。语本《宋书·索虏传》：“焘大怒，谓奇曰：‘我生头发未燥，便闻河南是我家地。’”
生功止过	sheng'gong'zhi'guo	鼓励立功，防止过失。
生关死劫	sheng'guan'si'jie	生的关头，死的劫数。谓人的生死命运。
生花妙笔	sheng'hua'miao'bi	见“生花笔”。
生花妙语	sheng'hua'miao'yu	指动听的言语文章。
生寄死归	sheng'ji'si'gui	视生如寄，视死如归。表示豁达之辞。
生聚教训	sheng'ju'jiao'xun	《左传·哀公元年》：“扞伍员呴退而告人曰：‘越十年生聚，而十年教训，二十年之外，吴其为沼乎！’”后以“生聚教训”指军民同心同德，积聚力量，发愤图强，以洗刷耻辱。
生聚教养	sheng'ju'jiao'yang	同“生聚教训”。
生拉活扯	sheng'la'huo'che	亦作“生拉硬扯”。①又作：生拖死拽。②比喻牵强附会。
生拉活拽	sheng'la'huo'zhuai	谓拉扯，纠缠。
生拉硬扯	sheng'la'ying'che	见“生拉活扯”。
生离死别	sheng'li'si'bie	难以再见或永久的别离。
生灵涂炭	sheng'ling'tu'tan	形容人民处于极端困苦的境地。
生龙活虎	sheng'long'huo'hu	形容生气勃勃，充满活力。多用以比喻人活泼有朝气或文章生动有力。
生龙活现	sheng'long'huo'xian	又作：活龙活现。
生民涂炭	sheng'min'tu'tan	又作：生灵涂炭。
生拼硬凑	sheng'pin'ying'cou	勉强拼凑。
生气勃勃	sheng'qi'bo'bo	形容富有朝气和活力。
生荣没哀	sheng'rong'mei'ai	同“生荣死哀”。
生荣死哀	sheng'rong'si'ai	活着受人崇敬，死了使人哀痛。语本《论语·子张》：“其生也荣，其死也哀。”邢昺疏：“生则荣显，死则哀痛。”
生荣亡哀	sheng'rong'wang'ai	同“生荣死哀”。
生肉枯骨	sheng'rou'ku'gu	又作：生死肉骨。
生桑之梦	sheng'sang'zhi'meng	指三国蜀何祗梦桑生井中，后应梦，四十八岁而卒。《三国志·蜀志·杨洪传》“洪迎门下书佐何祗”裴松之注引晋陈寿《益部耆旧传·杂记》：“扞何祗呴尝梦井中生桑，以问占梦赵直，直曰：‘桑非井中之物，会当移植；然桑字四十下八，君寿恐不过此。’祗笑言：‘得此足矣’。初仕郡，后为督军从事……年四十八卒，如直所言。”后以喻死期将至。
生杀予夺	sheng'sha'yu'duo	语本《周礼·春官·内史》：“内史掌王之八枋之法，以诏王治。一曰爵……五曰杀，六曰生，七曰予，八曰夺。”后以“生杀予夺”指有权势的人所掌握的能任意处置人民生命财产的权力。
生杀与夺	sheng'sha'yu'duo	同“生杀予夺”。
生上起下	sheng'shang'qi'xia	又作：承上启下。
生生世世	sheng'sheng'shi'shi	世世代代；永生永世；永远。
生生死死	sheng'sheng'si'si	又作：一辈子。谓从生至死。
生手生脚	sheng'shou'sheng'jiao	形容对所做的某项新工作不熟悉的样子。
生死不易	sheng'si'bu'yi	见“生死不渝”。
生死不渝	sheng'si'bu'yu	至死不变。
生死长夜	sheng'si'chang'ye	佛教语。指漫长昏昧的生死轮回。
生死存亡	sheng'si'cun'wang	生存和死亡；生存或死亡。
生死骨肉	sheng'si'gu'rou	见“生死肉骨”。
生死关头	sheng'si'guan'tou	指极其紧要的契机或时刻。
生死苦海	sheng'si'ku'hai	又作：生死海。
生死肉骨	sheng'si'rou'gu	使死者复生，白骨长肉。极言恩施的深厚。
生死无贰	sheng'si'wu'er	至死无异心。表示坚定。
生死攸关	sheng'si'you'guan	谓关系到生存或死亡。
生死与共	sheng'si'yu'gong	生死都在一起。形容关系非常密切。
生死之交	sheng'si'zhi'jiao	可共生死的朋友；可共生死的情谊。
生死醉梦	sheng'si'zui'meng	形容非常专心。
生吞活剥	sheng'tun'huo'bao	①比喻生硬地抄袭或模仿。语本唐刘肃《大唐新语·谐谑》：“李义府尝赋诗曰：‘镂月成歌扇，裁云作舞衣。自怜回雪影，好取洛川归。’有枣强尉张怀庆好偷名士文章，乃为诗曰：‘生情镂月成歌扇，出意裁云作舞衣。照镜自怜回雪影，时来好取洛川归。’人谓之谚曰：‘活剥王昌龄，生吞郭正一。’”②谓不加烹调。③比喻侵略欺凌。④又作：生拉硬扯。⑤比喻一知半解。
生吞活夺	sheng'tun'huo'duo	形容粗暴地抢夺。
生拖死拽	sheng'tuo'si'zhuai	形容强行拉拽。
生知安行	sheng'zhi'an'xing	“生而知之”、“安而行之”之省。古以为圣人方能具有的资质。
生众食寡	sheng'zhong'shi'gua	生产的多，消费的少。语本《礼记·大学》：“生财有大道，生之者众，食之者寡，为之者疾，用之者舒，则财恆足矣。”
生拽活拖	sheng'zhuai'huo'tuo	又作：生拖死拽。形容用力拉扯。
声东击西	sheng'dong'ji'xi	①表面上声言攻打东面，其实是攻打西面。军事上使敌人产生错觉的一种战术。语出《通典·兵六》：“声言击东，其实击西。”②形容动作、说话、行文等变化莫测。
声价百倍	sheng'jia'bai'bei	见“声价十倍”。
声价倍增	sheng'jia'bei'zeng	谓声誉地位成倍增加，迅速提高。
声价十倍	sheng'jia'shi'bei	谓声望、地位一下子大大提高。
声泪俱发	sheng'lei'ju'fa	见“声泪俱下”。
声泪俱下	sheng'lei'ju'xia	边诉说边流泪。形容极其悲恸或激动。
声名赫奕	sheng'ming'he'yi	名声显赫。
声名藉甚	sheng'ming'jie'shen	名声显赫。指人在社会上流传的评价极高。
声名狼籍	sheng'ming'lang'ji	见“声名狼藉”。
声名狼藉	sheng'ming'lang'jie	形容行为不检点，名声极差。语出《史记·蒙恬列传》“此四君者，皆为大失，而天下非之，以其君为不明，以是籍於诸侯”唐司马贞索隐：“言其恶声狼籍，布於诸国。”
声名鹊起	sheng'ming'que'qi	形容知名度迅速提高。
声名烜赫	sheng'ming'xuan'he	名声显赫。
声气相求	sheng'qi'xiang'qiu	谓志同道合，意气相投。
声气相投	sheng'qi'xiang'tou	见“声气相求”。
声情并茂	sheng'qing'bing'mao	指演唱时唱腔很优美，而所表达的感情又很丰富、真挚。
声入心通	sheng'ru'xin'tong	谓一闻圣人之言，即能领悟其微旨。
声色并厉	sheng'se'bing'li	见“声色俱厉”。
声色不动	sheng'se'bu'dong	不动声色。形容态度从容镇静，不随意流露感情。
声色狗马	sheng'se'gou'ma	歌舞、女色、玩狗、跑马。泛指旧时统治阶级的淫乐方式。
声色货利	sheng'se'huo'li	音乐、女色、货物、财利。泛指旧时统治阶级所追求的物质享受。
声色俱厉	sheng'se'ju'li	说话的声音和脸色都很严厉。
声色犬马	sheng'se'quan'ma	见“声色狗马”。
声势浩大	sheng'shi'hao'da	声威气势非常壮大。
声势赫奕	sheng'shi'he'yi	声威气势盛大显赫。
声势汹汹	sheng'shi'xiong'xiong	见“声势汹汹”。
声势汹汹	sheng'shi'xiong'xiong	形容气势盛大的样子。多含贬义。
声势烜赫	sheng'shi'xuan'he	声威气势盛大显赫。
声势熏灼	sheng'shi'xun'zhuo	谓声威气势逼人。
声嘶力竭	sheng'si'li'jie	声音喊哑，力气用尽。形容竭力叫嚷呼号。
声吞气忍	sheng'tun'qi'ren	犹忍气吞声。谓受了气强自忍耐不敢发作。
声闻过情	sheng'wen'guo'qing	名声超过实情。
声希味淡	sheng'xi'wei'dan	谓平淡无奇，没有什么名声。有曲高和寡，不为人知之意。
声销迹灭	sheng'xiao'ji'mie	犹销声匿迹。谓隐藏形迹。
声音笑貌	sheng'yin'xiao'mao	原为低声下气、谄媚阿谀之貌。后亦泛指人的言语和神态。
声应气求	sheng'ying'qi'qiu	指情投意合或志同道合的人彼此间相互呼应或唱和。语出《易·乾》：“同声相应，同气相求。”
声誉十倍	sheng'yu'shi'bei	同“声价十倍”。
声张势厉	sheng'zhang'shi'li	声势煊赫。
声振寰宇	sheng'zhen'huan'yu	名声威势振动天下。形容声威极盛。
声振林木	sheng'zhen'lin'mu	声浪振动树林。形容乐声激越宏亮。
声罪致讨	sheng'zui'zhi'tao	宣布对方的罪行而进行讨伐。语本《国语·晋语五》：“是故伐备锺鼓，声其罪也；战以錞于、丁宁，儆其民也。”韦昭注：“以声张其罪。”
胜残去杀	sheng'can'qu'sha	实行仁政，使残暴的人化而为善，因而可以废除刑杀。
胜任愉快	sheng'ren'yu'kuai	有能力承担并能圆满愉快地完成任务。
笙磬同音	sheng'qing'tong'yin	①谓乐声和谐。②喻人事和协，关系融洽。
鼪鼯之径	sheng'wu'zhi'jing	同“鼪鼬之迳”。
鼪鼬之迳	sheng'you'zhi'jing	鼠鼬类往来的小路。引申为荒凉偏僻的小道。
绳锯木断	sheng'ju'mu'duan	《汉书·枚乘传》：“泰山之霤穿石……水非石之钻，索非木之锯，渐靡使之然也。”后遂用“绳锯木断”比喻力量虽小，日久为之，也能做成看来很难办到的事情。
绳愆纠谬	sheng'qian'jiu'miu	谓举发过失，纠正错误。
绳愆纠缪	sheng'qian'jiu'mou	见“绳愆纠谬”。
绳愆纠违	sheng'qian'jiu'wei	见“绳愆纠谬”。
绳趋尺步	sheng'qu'chi'bu	又作：循规蹈矩。
绳枢甕牖	sheng'shu'weng'you	以绳子系门枢，以破甕作窗户。形容贫穷人家屋舍之陋。
绳先启后	sheng'xian'qi'hou	承前启后。
绳一戒百	sheng'yi'jie'bai	谓惩罚一人以警戒众人。
省吃俭用	sheng'chi'jian'yong	见“省吃俭用”。
省吃俭用	sheng'chi'jian'yong	形容生活节俭。
省吃俭用	sheng'chi'jian'yong	形容生活节俭。
省吃细用	sheng'chi'xi'yong	见“省吃俭用”。
省愆寡过	sheng'qian'gua'guo	减少过错。
省身克己	sheng'shen'ke'ji	检查自身过失，克制自己非分之想。
省事宁人	sheng'shi'ning'ren	减少事务，使人安宁。
省衣节食	sheng'yi'jie'shi	又作：节衣缩食。指生活节俭。
省役薄赋	sheng'yi'bao'fu	减轻徭役和赋税。谓施行仁政。
圣帝明王	sheng'di'ming'wang	本指上古道德智能卓越的君主。后泛称历代英明的帝王。
圣经贤传	sheng'jing'xian'chuan	旧指圣人手订的经典和贤人阐释的著作。
圣君贤相	sheng'jun'xian'xiang	圣明的君主与贤良的辅佐大臣。有君臣相契意。相，辅弼之臣，后专指宰相。
圣人之年	sheng'ren'zhi'nian	谓五十岁。
圣人之徒	sheng'ren'zhi'tu	圣人的门徒。多指传孔子之道者。
圣神文武	sheng'shen'wen'wu	《书·大禹谟》：“帝德广运，乃圣乃神，乃武乃文。”孔传：“圣，无所不通；神，妙无方；文，经天地；武，定祸乱。”后以“圣神文武”为称颂帝王或杰出人物之词。
圣主垂衣	sheng'zhu'chui'yi	形容天下太平，无为而治。语本《易·系辞下》：“黄帝、尧、舜垂衣裳而天下治，盖取诸乾坤。”
盛极一时	sheng'ji'yi'shi	形容在某一时期极为兴盛。
盛名难副	sheng'ming'nan'fu	《后汉书·黄琼传》：“盛名之下，其实难副。”后以“盛名难副”指名过其实。
盛气临人	sheng'qi'lin'ren	见“盛气凌人”。
盛气凌人	sheng'qi'ling'ren	亦作“盛气临人”。谓以威严或骄横的气势压人。今多用作贬义。
盛水不漏	sheng'shui'bu'lou	喻说理严密。
盛筵必散	sheng'yan'bi'san	比喻无论怎样美好的事物，终必消散。
盛筵难再	sheng'yan'nan'zai	谓良会不易重逢。
盛筵易散	sheng'yan'yi'san	见“盛筵必散”。
剩馥残膏	sheng'fu'can'gao	女子妆后所剩的脂粉。指闺中之作。
剩水残山	sheng'shui'can'shan	语本唐杜甫《陪郑广文游何将军山林》诗之五：“剩水沧江破，残山碣石开。”剩水，指人工池塘；残山，指假山。后多以“剩水残山”指山河残破的景象。
賸菜残羹	sheng'cai'can'geng	吃剩的食物。比喻弃馀无用之物。
賸水残山	sheng'shui'can'shan	谓零散的山水；残破的河山。常指经外来势力蹂躏的土地、景物。
賸水残山	sheng'shui'can'shan	谓零散的山水；残破的河山。常指经外来势力蹂躏的土地、景物。
尸居馀气	shi'ju'yu'qi	形容人即将死亡。亦以谓人暮气沉沉，无所作为。
尸居馀气	shi'ju'yu'qi	同“尸居馀气”。
尸居馀气	shi'ju'yu'qi	同“尸居馀气”。
尸禄素飡	shi'lu'su'can	见“尸禄素餐”。
尸禄素餐	shi'lu'su'can	亦作“尸禄素飡”。谓空食俸禄而不尽其职，无所事事。
尸山血海	shi'shan'xue'hai	形容杀人之多。
尸山血海	shi'shan'xue'hai	同“尸山血海”。
尸山血海	shi'shan'xue'hai	同“尸山血海”。
尸位素餐	shi'wei'su'can	谓居位食禄而不尽职。
失道寡助	shi'dao'gua'zhu	谓违反正义者得不到多数人的支持。语本《孟子·公孙丑下》：“得道者多助，失道者寡助。寡助之至，亲戚畔之；多助之至；天下顺之。”
失魂荡魄	shi'hun'dang'po	形容心意烦乱，精神恍惚。
失魂落魄	shi'hun'luo'po	①形容极度惊恐不安。②形容心烦意乱，精神恍惚。
失魂丧胆	shi'hun'sang'dan	形容极度恐慌。
失魂丧魄	shi'hun'sang'po	①形容极度惊恐不安。②形容心烦意乱，精神恍惚。
失惊打怪	shi'jing'da'guai	①犹大惊小怪。②惊恐；慌张。
失惊倒怪	shi'jing'dao'guai	犹失惊打怪。惊恐；慌张。
失精落彩	shi'jing'luo'cai	没精打彩。
失马塞翁	shi'ma'sai'weng	比喻因祸得福的人。
失时落势	shi'shi'luo'shi	谓时运不济。
失张冒势	shi'zhang'mao'shi	冒冒失失的样子。
失张失志	shi'zhang'shi'zhi	同“失张失智”。
失张失致	shi'zhang'shi'zhi	同“失张失智”。
失张失智	shi'zhang'shi'zhi	举止失措、失神落魄貌。
失之东隅，收之桑榆	shi'zhi'dong'yu'-'shou'zhi'sang'yu	之桑榆】	谓初虽有失而终得补偿。东隅，日所出处；桑榆，落日所照处。
失之毫釐，差以千里	shi'zhi'hao'li'-'cha'yi'qian'li	以千里】	见“失之毫釐，差之千里”。
失之毫釐，差之千里	shi'zhi'hao'li'-'cha'zhi'qian'li	之千里】	亦作“失之毫釐，差以千里”。谓细微的失误，可导致巨大的差错。
失之毫釐，谬以千里	shi'zhi'hao'li'-'miu'yi'qian'li	以千里】	同“失之毫釐，差之千里”。
失之交臂	shi'zhi'jiao'bi	亦作“失诸交臂”。谓当面错过机会。语本《庄子·田子方》：“吾终身与汝交一臂而失之。”王先谦集解：“虽吾汝终身相与，不啻把一臂而失之，言其暂也。”
失之千里，差若毫釐	shi'zhi'qian'li'-'cha'ruo'hao'li	若毫釐】	同“失之毫釐，差之千里”。
失诸交臂	shi'zhu'jiao'bi	见“失之交臂”。
师出无名	shi'chu'wu'ming	谓出兵而无正当理由。语本《汉书·高帝纪上》：“兵出无名，事故不成。”
师出有名	shi'chu'you'ming	《礼记·檀弓下》：“师必有名。”谓出兵有正当的理由。后即以“师出有名”比喻行事有理。
师道尊严	shi'dao'zun'yan	谓为师者地位崇高。
师心自用	shi'xin'zi'yong	谓只凭主观，自以为是。
诗肠鼓吹	shi'chang'gu'chui	喻激发诗人创作欲望的音乐。
诗家三昧	shi'jia'san'mei	作诗的诀窍。
诗酒风流	shi'jiu'feng'liu	作诗饮酒。古人以此为风流韵事，故称。
诗礼传家	shi'li'chuan'jia	谓以儒家经典及其道德规范世代相传。
诗礼人家	shi'li'ren'jia	世代读书以传统封建礼教为行为准则的人家。
诗礼之家	shi'li'zhi'jia	见“诗礼人家”。
诗礼之训	shi'li'zhi'xun	《论语·季氏》：“尝独立，鲤趋而过庭。曰：‘学《诗》乎？’对曰‘未也。’‘不学《诗》，无以言。’鲤退而学《诗》。他日，又独立，鲤趋而过庭。曰：‘学《礼》乎？’对曰：‘未也。’‘不学《礼》，无以立。’鲤退而学《礼》。”后以“诗礼之训”谓子承父教。
诗朋酒侣	shi'peng'jiu'lv	见“诗朋酒友”。
诗朋酒友	shi'peng'jiu'you	作诗饮酒的朋友。
诗情画意	shi'qing'hua'yi	像诗画里所描摩的能给人以美感的意境。
诗书发冢	shi'shu'fa'zhong	喻口是心非、言行不一的伪君子作风。语本《庄子·外物》：“儒以诗礼发冢。”郭象注：“诗礼者，先王之陈迹也，苟非其人，道不虚行，故夫儒者乃有用之为奸，则迹不足恃也。”成玄英疏：“是以田恆资仁义以窃齐，儒生诵诗礼以发冢，由是观之，圣迹不足赖。”
诗庭之训	shi'ting'zhi'xun	指父训。
诗云子曰	shi'yun'zi'yue	《诗经》所说和孔子所言。二者均为历代儒者遵奉的信条。因用以泛指儒家言论或经典著作。
诗中有画	shi'zhong'you'hua	谓诗作工于描绘景物，读之如置身图画之中。
施绯拖绿	shi'fei'tuo'lv	形容衣衫不整。
施号发令	shi'hao'fa'ling	发布号令。
施衿结褵	shi'jin'jie'li	语本《诗·豳风·东山》：“之子于归，皇驳其马，亲结其缡，九十其仪。”又《仪礼·士昏礼》：“母施衿结帨，曰：‘勉之敬之，夙夜毋违宫事。’”本指古代女子出嫁，母亲将五彩丝绳和佩巾结于其身。后喻父母对子女的教训。
施命发号	shi'ming'fa'hao	发布号令。
狮象搏兔，皆用全力	shi'xiang'bo'tu'-'jie'yong'quan'li	用全力】	比喻对小事情也拿出全部力量认真对付。
狮子搏兔，亦用全力	shi'zi'bo'tu'-'yi'yong'quan'li	用全力】	见“狮象搏兔，皆用全力”。
狮子大开口	shi'zi'da'kai'kou		比喻要大价钱。
十变五化	shi'bian'wu'hua	谓变化多端。
十病九痛	shi'bing'jiu'tong	形容经常生病。
十不当一	shi'bu'dang'yi	十个不抵一个。谓人虽多但不顶用。
十成九稳	shi'cheng'jiu'wen	谓相当稳妥可靠。
十恶不赦	shi'e'bu'she	①封建时代谓犯有属于“十恶”罪行者均不得赦免。②形容罪大恶极或坏到极点。
十恶五逆	shi'e'wu'ni	谓种种不可赦免的大罪。
十二金钗	shi'er'jin'chai	南朝梁武帝《河中之水歌》：“头上金钗十二行，足下丝履五文章。”“金钗十二行”本用以形容美女头上金钗之多，后以“十二金钗”喻指众多的妃嫔或姬妾。
十二金牌	shi'er'jin'pai	《宋史·岳飞传》：“（秦桧）言飞孤军不可久留，乞令班师。一日奉十二金字牌，飞愤惋泣下，东向再拜曰：‘十年之力，废於一旦！’宋代凡传递赦书及军事上最紧急的命令，皆用金字牌。”后因以“十二金牌”作为紧急命令的代称。
十二万分	shi'er'wan'fen	形容程度极深。
十发十中	shi'fa'shi'zhong	射十次皆中的。形容善射。
十风五雨	shi'feng'wu'yu	十天刮一次风，五天下一场雨。谓风调雨顺。
十夫桡椎	shi'fu'rao'zhui	见“十夫楺椎”。
十夫楺椎	shi'fu'rou'zhui	谓十个人的力量能使椎弯曲。椎，槌。比喻人多力大，足以改变原状。
十光五色	shi'guang'wu'se	形容景象纷繁，色彩绚丽。
十寒一暴	shi'han'yi'bao	冻十天，晒一天。比喻做事时而抓紧，时而懈怠，进展不快。
十浆五馈	shi'jiang'wu'kui	典出《列子·黄帝》：“子列子之齐，中道而反，遇伯昏瞀人。伯昏瞀人曰：‘奚方而反？’曰：‘吾惊焉。’‘恶乎惊？’‘吾食於十浆，而五浆先馈。’”谓十家卖浆者之中有五家争先送来。本谓卖浆者争利，后用以比喻争相设宴款待。
十拷九棒	shi'kao'jiu'bang	谓严刑拷打。
十口相传	shi'kou'xiang'chuan	许多人辗转相传。
十里洋场	shi'li'yang'chang	①旧时上海的租界区域因外国人较多，洋货充斥，或称十里洋场；后因以借指旧上海市区。多含贬义。②泛指繁荣的市场。
十米九糠	shi'mi'jiu'kang	饭食中多糠。形容穷苦。
十眠九坐	shi'mian'jiu'zuo	时躺时坐。形容病体难支。
十面埋伏	shi'mian'mai'fu	①谓设伏兵于十面以围歼敌军。②琵琶大曲。又名《淮阴平楚》、《楚汉》。自明代后期流传至今。以刘邦与项羽垓下大战为主题，用琵琶演奏，表达了古代战场上千军万马震撼山岳的声势。明末琵琶演奏家汤应曾曾以善弹此曲著称。参阅清张山来《虞初新志》卷一所载清王猷定《汤琵琶传》。
十目所视	shi'mu'suo'shi	见“十目所视，十手所指”。
十拏九稳	shi'na'jiu'wen	见“十拿九稳”。
十拿九稳	shi'na'jiu'wen	亦作“十拏九稳”。比喻很有把握。
十年读书	shi'nian'du'shu	谓长期努力于学业。
十年磨剑	shi'nian'mo'jian	唐贾岛《剑客》诗：“十年磨一剑，霜刃未曾试。今日把似君，谁为不平事？”后因以“十年磨剑”比喻多年刻苦磨练。
十亲九眷	shi'qin'jiu'juan	众多亲戚。
十全十美	shi'quan'shi'mei	谓完美无缺。
十日并出	shi'ri'bing'chu	①古代神话传说天本有十个同时出现的太阳。②比喻暴乱并起。
十生九死	shi'sheng'jiu'si	形容经历极大危险而幸存。
十十五五	shi'shi'wu'wu	①谓十个一群，五个一组。形容错乱不齐。②谓每十里五里。
十世单传	shi'shi'dan'chuan	连续十代独子相传。形容极其宝贵。
十室九空	shi'shi'jiu'kong	形容因灾荒、战乱或苛征暴敛以致百姓破产或流亡的景象。
十室九匮	shi'shi'jiu'kui	形容因各种自然或社会的原因而造成百姓贫困的景象。匮，指财物匮乏。
十室容贤	shi'shi'rong'xian	谓只有十户人家的小地方也有贤人。
十手争指	shi'shou'zheng'zhi	谓人如有不善，众人则争相指责。语本《礼记·大学》：“十目所视，十手所指，其严乎！”
十鼠同穴	shi'shu'tong'xue	比喻把坏人集中于一处，以便一举歼灭。
十死不问	shi'si'bu'wen	谓即使犯十次死罪也予宽恕。
十死九活	shi'si'jiu'huo	形容难以幸存。
十死一生	shi'si'yi'sheng	谓死的可能远大于生。
十万火急	shi'wan'huo'ji	形容情况非常紧急，刻不容缓。
十万火速	shi'wan'huo'su	形容在紧急情况下动作极快地行事。
十行俱下	shi'xing'ju'xia	一眼同时看十行文字，形容读书敏捷。
十羊九牧	shi'yang'jiu'mu	①比喻民少官多。②比喻多头领导，命令不一，使人无所适从。
十有八九	shi'you'ba'jiu	①谓绝大多数。②又作：大致不差，差不离。
十雨五风	shi'yu'wu'feng	十天下一场雨，五天刮一次风。谓风调雨顺。
十载寒窗	shi'zai'han'chuang	谓长期清苦勤读。窗，亦作“漦”。
十战十胜	shi'zhan'shi'sheng	谓每战必胜。
十指连心	shi'zhi'lian'xin	①谓十个指头的痛楚都与心息息相通。②比喻关系异常密切。
十转九空	shi'zhuan'jiu'kong	十次去九次空着手回来。形容赌博经常输钱。
十字街口	shi'zi'jie'kou	十字街头。
十字街头	shi'zi'jie'tou	①街道横直交叉的地方。多为行人往来频繁的热闹地方。②借指现实社会。
十字路口	shi'zi'lu'kou	①街道或道路纵横交叉的地方。②比喻社会生活中不同道路的交集点。
十字路头	shi'zi'lu'tou	道路横直交叉的地方。
什围伍攻	shi'wei'wu'gong	古时兵法，谓以十敌一则围歼之，以五敌一则攻击之。
石沉大海	shi'chen'da'hai	亦作“石沈大海”。比喻无影无踪，杳无信息或事情没有下文。
石城汤池	shi'cheng'tang'chi	比喻防守坚固不易攻破的城池。
石赤不夺	shi'chi'bu'duo	石质坚硬，丹砂色鲜红，均不可改变。比喻意志坚定不移。
石火电光	shi'huo'dian'guang	佛教语。喻时光的短促。
石火风灯	shi'huo'feng'deng	见“石火风烛”。
石火风烛	shi'huo'feng'zhu	比喻为时短暂。
石缄金匮	shi'jian'jin'kui	同“石室金匮”。
石烂海枯	shi'lan'hai'ku	直到石头变土，海水干涸。比喻永久。
石烂江枯	shi'lan'jiang'ku	直到石头变土，江水干涸。比喻不可能发生的事情。
石泐海枯	shi'le'hai'ku	直到石头碎裂，海水干涸。形容经历极长的时间。
石破天惊	shi'po'tian'jing	唐李贺《李凭箜篌引》：“女娲炼石补天处，石破天惊逗秋雨。”形容乐声高亢激越，有惊天动地之势。后多用以比喻某一事物或文章议论新奇惊人。
石沈大海	shi'shen'da'hai	见“石沉大海”。
石室金匮	shi'shi'jin'kui	亦作“石室金鐀”。古代国家收藏重要文献的地方。
石室金鐀	shi'shi'jin'gui	见“石室金匮”。
时不可失	shi'bu'ke'shi	时机不可错过。谓要抓住有利时机。
时不我待	shi'bu'wo'dai	时间不等人。谓要抓紧时间。
时不我与	shi'bu'wo'yu	时间不等待我们。感叹错过时机，追悔莫及。语出《论语·阳货》：“日月逝矣，岁不我与。”
时不再来	shi'bu'zai'lai	时机一失，不会再来。激励人要抓紧时机。
时绌举赢	shi'chu'ju'ying	当衰败之时，而强作奢侈之事。绌，不足；赢，有余。
时乖命蹇	shi'guai'ming'jian	又作：时乖运蹇。
时乖运蹇	shi'guai'yun'jian	时机不顺，命运不好。谓时运不济，处境不顺利。
时过境迁	shi'guo'jing'qian	时间推移，环境发生变化。
时和年丰	shi'he'nian'feng	四时和顺，五谷丰收。用以称颂太平盛世。
时亨运泰	shi'heng'yun'tai	旧时指命运亨通。
时来运转	shi'lai'yun'zhuan	时机来临，命运开始好转。
时清海宴	shi'qing'hai'yan	时世清平，四方安定。
时诎举赢	shi'qu'ju'ying	见“时绌举赢”。
时移世易	shi'yi'shi'yi	时代变迁，世事也不一样。
时移势易	shi'yi'shi'yi	犹时异势殊。
时移俗易	shi'yi'su'yi	时代更替，社会风俗变易。泛指时世、风俗等都起了变化。
时异势殊	shi'yi'shi'shu	谓时代、情势等都已起了变化。
识变从宜	shi'bian'cong'yi	谓认识事物的变化，灵活地处理问题。
识才尊贤	shi'cai'zun'xian	能识别并尊重有才能的人。
识二五而不知十	shi'er'wu'er'bu'zhi'shi	十】	《史记·越王勾践世家》：“且王之所求者，斗晋楚也；晋楚不斗，越兵不起，是知二五而不知十也。”后以“识二五而不知十”谓只知道一个方面，而不懂得全面地观察问题。
识礼知书	shi'li'zhi'shu	懂得礼仪，熟知诗书。
识明智审	shi'ming'zhi'shen	识见明敏，智虑周详。
识时达变	shi'shi'da'bian	认清时势，通达权变。
识时达务	shi'shi'da'wu	认清时势，通达事务。
识时通变	shi'shi'tong'bian	见“识时达变”。
识时务者为俊杰	shi'shi'wu'zhe'wei'jun'jie	杰】	《三国志·蜀志·诸葛亮传》：“诸葛孔明者，卧龙也”裴松之注引晋习凿齿《襄阳记》：“刘备访世事於司马德操。德操曰：‘儒生俗士，岂识时务？识时务者在乎俊杰。此间自有伏龙、凤雏。’”后以“识时务者为俊杰”谓能认清形势、了解时代潮流者，才是杰出人物。
识涂老马	shi'tu'lao'ma	见“识途老马”。
识途老马	shi'tu'lao'ma	《韩非子·说林上》：“管仲、隰朋从於桓公伐孤竹，春往冬反，迷惑失道。管仲曰：‘老马之智可用也。’乃放老马而随之，遂得道。”后遂以“识途老马”比喻对某种事情熟悉有经验的人。
识微见几	shi'wei'jian'ji	谓看到事物的苗头而能认识和察见事物的本质和发展。
识微见远	shi'wei'jian'yuan	谓看到事物的苗头而能察知它的发展远景。
识微知著	shi'wei'zhi'zhu	谓看到事物的苗头而能察知它的发展趋向或问题的实质。
识文断字	shi'wen'duan'zi	知晓文字。
识文谈字	shi'wen'tan'zi	见“识文断字”。
识字知书	shi'zi'zhi'shu	谓有文化知识。
